place	date	r_est	pis	smooth_pis	nseq	period
India	2020-03-27	2.302287764595493	0.7745248351806487	0.8598396702227056	1	Mar 27 - Jul 24, 2020
India	2020-03-28	2.149619529120384	0.7231649045338145	0.8453042940543523	2	Mar 27 - Jul 24, 2020
India	2020-03-29	2.031080539341894	0.683286574408216	0.8309622852441712	3	Mar 27 - Jul 24, 2020
India	2020-03-30	2.100973838806396	0.7067997499028034	0.8168230173128795	4	Mar 27 - Jul 24, 2020
India	2020-03-31	2.5143470522764213	0.8458648246317304	0.8028958637811945	5	Mar 27 - Jul 24, 2020
India	2020-04-01	2.865440916197179	0.9639781731313866	0.789190198169833	6	Mar 27 - Jul 24, 2020
India	2020-04-02	3.1735955799789237	1.0676461176194807	0.7757153939995121	7	Mar 27 - Jul 24, 2020
India	2020-04-03	3.3951868703397583	1.1421928186372605	0.7624808247909494	8	Mar 27 - Jul 24, 2020
India	2020-04-04	3.306938804648148	1.1125048189067774	0.7494958640648616	9	Mar 27 - Jul 24, 2020
India	2020-04-05	2.9927572631806925	1.0068093405378353	0.7367698853419656	10	Mar 27 - Jul 24, 2020
India	2020-04-06	2.472984898442255	0.8319499631301522	0.724312262142979	11	Mar 27 - Jul 24, 2020
India	2020-04-07	2.109484706776588	0.7096629361270569	0.7121323679886185	12	Mar 27 - Jul 24, 2020
India	2020-04-08	1.804440101657766	0.6070412629653994	0.7002395763996011	13	Mar 27 - Jul 24, 2020
India	2020-04-09	1.7196637421117715	0.5785211983087064	0.6886432608966445	14	Mar 27 - Jul 24, 2020
India	2020-04-10	1.6830042037484485	0.5661883686141351	0.6773527950004653	15	Mar 27 - Jul 24, 2020
India	2020-04-11	1.7074445311632582	0.5744104687589632	0.6663533524969083	16	Mar 27 - Jul 24, 2020
India	2020-04-12	1.6449172036548565	0.5533753189495126	0.6556198132168016	17	Mar 27 - Jul 24, 2020
India	2020-04-13	1.7769713075907838	0.5978003402951273	0.6451461097483362	18	Mar 27 - Jul 24, 2020
India	2020-04-14	1.7129639004815558	0.5762672690587757	0.6349261746797042	19	Mar 27 - Jul 24, 2020
India	2020-04-15	1.5733862939796457	0.5293112263202193	0.6249539405990969	20	Mar 27 - Jul 24, 2020
India	2020-04-16	1.5092611376684462	0.5077385424504463	0.6152233400947061	21	Mar 27 - Jul 24, 2020
India	2020-04-17	1.4471974714260256	0.4868593753861313	0.6057283057547234	22	Mar 27 - Jul 24, 2020
India	2020-04-18	1.3879103987977852	0.4669142969029474	0.5964627701673403	23	Mar 27 - Jul 24, 2020
India	2020-04-19	1.4442515454089042	0.4858683207934113	0.5874206659207486	24	Mar 27 - Jul 24, 2020
India	2020-04-20	1.4501815332246315	0.48786325943932224	0.5785959256031397	25	Mar 27 - Jul 24, 2020
India	2020-04-21	1.4768639989849597	0.4968396492343062	0.5699824818027052	26	Mar 27 - Jul 24, 2020
India	2020-04-22	1.4718962833144842	0.4951684336633998	0.5615742671076368	27	Mar 27 - Jul 24, 2020
India	2020-04-23	1.4457378519022404	0.4863683370422408	0.5533652141061262	28	Mar 27 - Jul 24, 2020
India	2020-04-24	1.3307367246514787	0.44768019800974473	0.5453492553863649	29	Mar 27 - Jul 24, 2020
India	2020-04-25	1.3641954775342553	0.4589362344880673	0.5375203235365444	30	Mar 27 - Jul 24, 2020
India	2020-04-26	1.311135176425622	0.4410859372303653	0.5299387468992689	31	Mar 27 - Jul 24, 2020
India	2020-04-27	1.2956784178071403	0.4358860471012919	0.5226597307949599	32	Mar 27 - Jul 24, 2020
India	2020-04-28	1.277314447724762	0.42970812654763973	0.5156695232785352	33	Mar 27 - Jul 24, 2020
India	2020-04-29	1.2708255991716697	0.4275251785976127	0.5089543724049127	34	Mar 27 - Jul 24, 2020
India	2020-04-30	1.2186021355456595	0.4099564062749205	0.5025005262290102	35	Mar 27 - Jul 24, 2020
India	2020-05-01	1.28395392777636	0.43194174923882955	0.4962942328057456	36	Mar 27 - Jul 24, 2020
India	2020-05-02	1.3737331222122808	0.4621448441092704	0.4903217401900367	37	Mar 27 - Jul 24, 2020
India	2020-05-03	1.4568001273008295	0.4900898557687761	0.4845692964368017	38	Mar 27 - Jul 24, 2020
India	2020-05-04	1.6288623786590946	0.5479742301391043	0.47902314960095826	39	Mar 27 - Jul 24, 2020
India	2020-05-05	1.672888888966494	0.5627854219300701	0.4736695477374242	40	Mar 27 - Jul 24, 2020
India	2020-05-06	1.687625689671673	0.5677431071998236	0.46849473890111754	41	Mar 27 - Jul 24, 2020
India	2020-05-07	1.63766747528484	0.5509363993855726	0.463484971146956	42	Mar 27 - Jul 24, 2020
India	2020-05-08	1.5462828554723134	0.5201932148511323	0.4586264925298577	43	Mar 27 - Jul 24, 2020
India	2020-05-09	1.3909202456423748	0.4679268554401876	0.4539055511047403	44	Mar 27 - Jul 24, 2020
India	2020-05-10	1.4053051211540093	0.4727661476894344	0.44930839492652175	45	Mar 27 - Jul 24, 2020
India	2020-05-11	1.326173254590879	0.4461449768480414	0.4451951561549045	46	Mar 27 - Jul 24, 2020
India	2020-05-12	1.2739877235934065	0.42858896564206006	0.4418743451055097	47	Mar 27 - Jul 24, 2020
India	2020-05-13	1.2435101399794652	0.4183358401256502	0.4392547770671336	48	Mar 27 - Jul 24, 2020
India	2020-05-14	1.2486434357746627	0.42006275938433263	0.4372452673285725	49	Mar 27 - Jul 24, 2020
India	2020-05-15	1.1735918910091856	0.3948142712355249	0.4357546311786224	50	Mar 27 - Jul 24, 2020
