day,cfr_mod,cfr_high,cfr_low
1,0.00766047446489385,0.0131066118535256,0.0029997067535025
2,0.007891444419656,0.0139188544924418,0.0030182535492286
3,0.00763688431224244,0.0138546355131119,0.00292347247690389
4,0.00814679359384946,0.0146025463077516,0.00285516485158631
5,0.00822851841534503,0.0151384135106151,0.0028268887618965
6,0.00830942411743044,0.0151387274892582,0.00277558247379692
7,0.00818767339971214,0.0147987295133265,0.00272139304120515
8,0.00806801241445833,0.0142724098222983,0.00279531828373524
9,0.00815360927150786,0.0142780693929344,0.00272903590531107
10,0.00865474812227248,0.0156798840372875,0.00277553631709454
11,0.00932036592268865,0.0259656957034672,0.00282649107963014
12,0.00944233527649598,0.0254423026900589,0.0028150963554865
13,0.00968884781790559,0.0253955376101501,0.0029725619826688
14,0.0100008170190685,0.0256894823485393,0.00308445473694375
15,0.010201512887666,0.0258027053376722,0.00311757472916651
16,0.0100380480859933,0.0250118031551199,0.00319696842637249
17,0.00939793315359454,0.0229535282701387,0.00322888574294265
18,0.00879985987855378,0.0122629941843111,0.00328646976521883
19,0.0085769948252141,0.0116333437407421,0.00342326627958113
20,0.00830336221572517,0.0106846827976392,0.00344480703307511
21,0.00795588088026327,0.00929891703086642,0.0034364810490336
22,0.00754399029522636,0.00862853762317478,0.00356752769160608
23,0.007724946691267,0.0078091228442875,0.00367116369865132
24,0.00781340838299175,0.00743165485069887,0.00372022281897364
25,0.00761804110838953,0.00678799576344987,0.00378899277149813
26,0.00770666608369724,0.00650925331233074,0.0038264306893625
27,0.00803195831687605,0.00689816475490817,0.00378695879607273
28,0.00815935002373014,0.00698073996249137,0.00398918850045363
29,0.00863830907629255,0.00744943546553749,0.00402504561478504
30,0.00903081308458832,0.00774348802505263,0.00418779238490893
31,0.00937797639778359,0.00808521742041464,0.0043723613940006
32,0.00967845658782797,0.00807031149483084,0.00468642626040296
33,0.00993655419258677,0.00808912978867458,0.00501646119759328
34,0.01008032261396,0.00792139451763208,0.00533215559893368
35,0.0106139656138368,0.00832952525527411,0.00555797917974892
36,0.0109334543905404,0.00820518276668723,0.0059612118907549
37,0.0113662984554681,0.00852412410874094,0.00584867979601362
38,0.0115210401857801,0.0083000568344975,0.00575421930372311
39,0.011772257597428,0.00848679169488874,0.00573878131650484
40,0.0119855574789657,0.00851950482943877,0.0059875312066432
41,0.0122564131936818,0.00874929675660491,0.00620255822210017
42,0.0122143711369773,0.00840816797734294,0.00627483713366479
43,0.0119363375280439,0.00842871633277502,0.00655167271483137
44,0.0114790075187645,0.00764070825999947,0.00709510673187208
45,0.0117480150229693,0.00804616915443062,0.00753928706165775
46,0.0118567699892278,0.00831557103517464,0.00756309325260054
47,0.0126678182831617,0.00997968695401962,0.0074475622631116
48,0.0125774330759595,0.00991853602834356,0.00728973034397073
49,0.0124374867899247,0.0100288432511021,0.00709500245281426
50,0.0124503948633387,0.00995917894173953,0.00698768779376311
51,0.0125988963794087,0.0103260047345255,0.00683498341008787
52,0.0126024252176818,0.0103709984234609,0.00674426792888105
53,0.0128569752160144,0.0104880776968309,0.0072095895539462
54,0.0121401581464869,0.00897764044407256,0.00792363854075258
55,0.0123756723867817,0.00875443444012906,0.00828045606033891
56,0.0128195256436069,0.00894947384215574,0.00855001081364817
57,0.0134904197005658,0.00921578154001556,0.00818088591209823
58,0.0143384014860607,0.0091752670079293,0.00836928690013398
59,0.0145654933552643,0.00873552992055354,0.00862326419687892
60,0.0147043058409418,0.00839602922222351,0.00835157692186994
61,0.0150782111841317,0.00841745538354727,0.00782563566773835
62,0.0154680432068638,0.00839239199231055,0.00816181164141551
63,0.0158043107320975,0.00841774891945705,0.00840495190187192
64,0.0161648288646493,0.00831334032909824,0.0086632769266372
65,0.0159154078142068,0.00821210984789321,0.00860952371813584
66,0.016235990917382,0.00856228401096563,0.00832232735279513
67,0.0166029181568977,0.00884934619077317,0.00822009630683101
68,0.0170380607440482,0.00953456432458733,0.00778575357751027
69,0.0173221519335015,0.0100668535242072,0.00684438588197327
70,0.0174533188864845,0.0106856943865451,0.0061832579479453
71,0.0173072022698495,0.0110718095688401,0.00561319422424254
72,0.0173368207182192,0.011858605159398,0.00507929696477871
73,0.01756965496798,0.0130122185142191,0.00484910315454686
74,0.01743204753788,0.0133558815888504,0.00477404883850892
75,0.0170017835305549,0.013340062395049,0.00471005602523658
76,0.016434248063216,0.0133041296434413,0.00462909852251589
77,0.0158511644273726,0.0128188118961536,0.00439904126158219
78,0.0153095370035331,0.0127469771039949,0.00416746529208214
79,0.0146135214337935,0.0126733160426254,0.00397509808483526
80,0.0138040449522555,0.0121132357405704,0.00367751245524379
81,0.0131820943423488,0.012146366118618,0.00316705534317993
82,0.0127813905563408,0.0122097029331045,0.00274039963019468
83,0.0124386200638524,0.0123406437908952,0.00258738386204244
84,0.0121709522361622,0.012182626164718,0.00254519256681211
85,0.0119939208646743,0.0124184170156401,0.00249822676428751
86,0.0118090533307098,0.0120758185550532,0.00242616423414528
87,0.0115631334165846,0.0119691140593326,0.00244410844897667
88,0.0113552173034074,0.0119861087409132,0.00246964162346806
89,0.0109858951812439,0.0116446908954798,0.00255561308825795
90,0.0107944933945443,0.0119740323382005,0.00259783507486533
